时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.052071,0.364451,0.158878,0.172712,0.311653,0.437376,0.180925,0.267710
0.400000,0.051703,0.363776,0.158995,0.172558,0.310675,0.437405,0.180827,0.267087
0.600000,0.051862,0.363546,0.158973,0.172321,0.310223,0.437338,0.180966,0.266711
0.800000,0.051740,0.363271,0.158714,0.172415,0.309731,0.437340,0.180682,0.266299
1.000000,0.052024,0.363231,0.158983,0.172397,0.309288,0.437166,0.180709,0.266002
1.200000,0.051954,0.362906,0.158976,0.172337,0.308715,0.437406,0.180516,0.265793
1.400000,0.051963,0.362656,0.158919,0.172312,0.308220,0.437192,0.180626,0.265288
1.600000,0.051872,0.362247,0.158834,0.172270,0.307902,0.437181,0.180530,0.264978
1.800000,0.051821,0.362176,0.158796,0.172228,0.307256,0.437255,0.180618,0.264603
2.000000,0.051821,0.361876,0.158843,0.172176,0.306786,0.437248,0.180658,0.264232
2.200000,0.051732,0.361609,0.158768,0.172092,0.306328,0.437222,0.180405,0.263858
2.400000,0.051857,0.361269,0.158595,0.172028,0.305787,0.437034,0.180303,0.263516
2.600000,0.052001,0.361106,0.158786,0.172067,0.305219,0.437042,0.180388,0.263191
2.800000,0.051831,0.360900,0.158598,0.172086,0.304853,0.437028,0.180075,0.262815
3.000000,0.051863,0.360618,0.158541,0.172022,0.304406,0.437056,0.180231,0.262469
3.200000,0.051944,0.360453,0.158750,0.172064,0.304087,0.436910,0.180216,0.262049
3.400000,0.051937,0.360109,0.158818,0.172101,0.303277,0.437020,0.180181,0.261809
3.600000,0.052016,0.360020,0.158559,0.171891,0.302958,0.436949,0.180135,0.261394
3.800000,0.051857,0.359662,0.158787,0.171980,0.302588,0.436875,0.180200,0.261062
4.000000,0.051609,0.359649,0.158729,0.171837,0.302051,0.436933,0.180204,0.260832
4.200000,0.051910,0.359384,0.158761,0.171526,0.301648,0.436907,0.179948,0.260512
4.400000,0.051820,0.359212,0.158557,0.171744,0.301186,0.437003,0.179848,0.260200
4.600000,0.051920,0.358781,0.158715,0.171747,0.300739,0.436827,0.179755,0.259839
4.800000,0.051849,0.358667,0.158833,0.171718,0.300244,0.436709,0.179818,0.259485
5.000000,0.051872,0.358338,0.158620,0.171665,0.299781,0.436852,0.179830,0.259160
5.200000,0.052021,0.358261,0.158643,0.171652,0.299338,0.436796,0.179598,0.258808
5.400000,0.051818,0.357828,0.158806,0.171577,0.298883,0.436576,0.179693,0.258499
5.600000,0.052003,0.357774,0.158690,0.171517,0.298393,0.436848,0.179678,0.258075
5.800000,0.051733,0.357404,0.158616,0.171482,0.298140,0.436662,0.179651,0.257893
6.000000,0.051942,0.357504,0.158640,0.171595,0.297559,0.436791,0.179572,0.257459
6.200000,0.051803,0.357135,0.158653,0.171255,0.297154,0.436657,0.179527,0.257263
6.400000,0.051818,0.356972,0.158726,0.171388,0.296726,0.436528,0.179537,0.256795
6.600000,0.051845,0.356708,0.158631,0.171390,0.295959,0.436599,0.179400,0.256470
6.800000,0.051833,0.356429,0.158640,0.171344,0.295682,0.436427,0.179293,0.256175
7.000000,0.051948,0.356247,0.158616,0.171419,0.295114,0.436531,0.179355,0.255985
7.200000,0.051805,0.356102,0.158627,0.171289,0.294823,0.436518,0.179411,0.255291
7.400000,0.051895,0.355727,0.158595,0.171150,0.294444,0.436319,0.179224,0.255267
7.600000,0.051835,0.355229,0.158761,0.171090,0.293974,0.436365,0.179175,0.254961
7.800000,0.051763,0.355357,0.158601,0.171270,0.293605,0.436398,0.179280,0.254793
8.000000,0.051730,0.355133,0.158771,0.171176,0.293254,0.436291,0.179122,0.254501
8.200000,0.051855,0.354928,0.158554,0.171165,0.292701,0.436392,0.179053,0.254062
8.400000,0.051755,0.354765,0.158687,0.171173,0.292377,0.436360,0.179060,0.253616
8.600000,0.051815,0.354596,0.158559,0.171103,0.292003,0.436301,0.178834,0.253316
8.800000,0.051864,0.354351,0.158588,0.171092,0.291495,0.436233,0.179087,0.253106
9.000000,0.051726,0.354149,0.158427,0.170943,0.291011,0.436091,0.178760,0.252788
9.200000,0.051608,0.353883,0.158398,0.171047,0.290616,0.436236,0.178966,0.252600
9.400000,0.051742,0.353729,0.158482,0.171016,0.290233,0.436220,0.178765,0.252285
9.600000,0.051685,0.353603,0.158525,0.170965,0.289964,0.436108,0.178745,0.251985
9.800000,0.051670,0.353269,0.158621,0.170904,0.289758,0.436059,0.178755,0.251620
10.000000,0.051714,0.353376,0.158591,0.170929,0.289255,0.436061,0.178603,0.251479
10.200000,0.051522,0.353237,0.158475,0.170947,0.288796,0.435993,0.178638,0.251228
10.400000,0.051695,0.352862,0.158398,0.170878,0.288455,0.436080,0.178579,0.251003
10.600000,0.051671,0.352696,0.158476,0.170877,0.287998,0.436021,0.178567,0.250650
10.800000,0.051619,0.352392,0.158388,0.170466,0.287652,0.435969,0.178487,0.250362
11.000000,0.051616,0.352472,0.158473,0.170639,0.287342,0.436072,0.178440,0.249958
11.200000,0.051636,0.352051,0.158443,0.170828,0.286962,0.435943,0.178500,0.249801
11.400000,0.051650,0.351946,0.158432,0.170670,0.286672,0.435796,0.178379,0.249580
11.600000,0.051713,0.351852,0.158297,0.170615,0.286234,0.435924,0.178333,0.249179
11.800000,0.051619,0.351662,0.158390,0.170646,0.285822,0.435818,0.178441,0.249161
12.000000,0.051647,0.351372,0.158398,0.170739,0.285441,0.435657,0.178258,0.248791
12.200000,0.051593,0.351247,0.158401,0.170735,0.285121,0.435713,0.178125,0.248436
12.400000,0.051504,0.351045,0.158464,0.170692,0.284736,0.435782,0.178145,0.248253
12.600000,0.051522,0.350889,0.158325,0.170568,0.284389,0.435727,0.178108,0.247822
12.800000,0.051503,0.350751,0.158519,0.170558,0.283878,0.435516,0.178196,0.247661
13.000000,0.051720,0.350341,0.158469,0.170452,0.283533,0.435765,0.177990,0.247462
13.200000,0.051439,0.350434,0.158408,0.170476,0.283305,0.435606,0.177999,0.247228
13.400000,0.051411,0.350254,0.158510,0.170397,0.283024,0.435767,0.177920,0.246962
13.600000,0.051478,0.350150,0.158263,0.170393,0.282593,0.435610,0.177777,0.246750
13.800000,0.051476,0.349762,0.158246,0.170327,0.282260,0.435524,0.177830,0.246508
