时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.050868,0.351642,0.173537,0.195511,0.365489,0.452511,0.205285,0.317093
0.400000,0.050745,0.390098,0.173578,0.195396,0.364202,0.452402,0.205230,0.316061
0.600000,0.050563,0.389938,0.173611,0.195321,0.363382,0.452272,0.205069,0.315517
0.800000,0.050705,0.389577,0.173510,0.195234,0.362820,0.452375,0.204970,0.314984
1.000000,0.050707,0.389234,0.173559,0.195023,0.362000,0.452421,0.204855,0.314431
1.200000,0.050668,0.389092,0.173552,0.195072,0.361337,0.452064,0.204769,0.313972
1.400000,0.050673,0.388777,0.173370,0.194970,0.360857,0.452120,0.204320,0.313548
1.600000,0.050690,0.388275,0.173442,0.194881,0.360185,0.452249,0.204510,0.312944
1.800000,0.050676,0.388138,0.173435,0.194806,0.359314,0.452184,0.204349,0.312423
2.000000,0.050807,0.387582,0.173382,0.194732,0.358760,0.451986,0.204387,0.311947
2.200000,0.050776,0.387247,0.173445,0.194568,0.358174,0.452168,0.204263,0.311535
2.400000,0.050681,0.387119,0.173416,0.194489,0.357553,0.451978,0.204241,0.310876
2.600000,0.050547,0.386828,0.173373,0.194438,0.356840,0.452069,0.204087,0.310408
2.800000,0.050514,0.386356,0.173418,0.194549,0.356383,0.451949,0.203931,0.309750
3.000000,0.050516,0.386220,0.173363,0.194346,0.355560,0.451847,0.203768,0.309495
3.200000,0.050660,0.386040,0.173489,0.194169,0.355005,0.451931,0.203747,0.308933
3.400000,0.050521,0.385549,0.173297,0.194192,0.354384,0.451820,0.203839,0.308476
3.600000,0.050532,0.385335,0.173486,0.194092,0.353842,0.451890,0.203635,0.308073
3.800000,0.050651,0.385065,0.173329,0.194029,0.353214,0.451849,0.203529,0.307555
4.000000,0.050640,0.384824,0.173350,0.193984,0.352598,0.451666,0.203301,0.307140
4.200000,0.050513,0.384665,0.173322,0.193921,0.351892,0.451739,0.203178,0.306560
4.400000,0.050627,0.384254,0.173320,0.193864,0.351153,0.451509,0.203379,0.306148
4.600000,0.050791,0.383964,0.173239,0.193677,0.350887,0.451626,0.203123,0.305648
4.800000,0.050628,0.383725,0.173236,0.193543,0.350139,0.451549,0.203051,0.305170
5.000000,0.050600,0.383370,0.173239,0.193599,0.349442,0.451620,0.202817,0.304583
5.200000,0.050584,0.383009,0.173298,0.193506,0.348910,0.451506,0.202531,0.304216
5.400000,0.050637,0.382970,0.173321,0.193400,0.348337,0.451441,0.202855,0.303925
5.600000,0.050594,0.382686,0.173287,0.193191,0.347731,0.451492,0.202522,0.303335
5.800000,0.050612,0.382335,0.173047,0.193192,0.347077,0.451426,0.202494,0.302896
6.000000,0.050633,0.381938,0.173104,0.193030,0.346588,0.451230,0.202358,0.302450
6.200000,0.050607,0.381797,0.173146,0.193247,0.345959,0.451158,0.202411,0.302014
6.400000,0.050606,0.381661,0.173097,0.192955,0.345370,0.451305,0.202233,0.301506
6.600000,0.050551,0.381068,0.173053,0.193005,0.344648,0.451149,0.202052,0.300813
6.800000,0.050556,0.380998,0.172997,0.192848,0.344055,0.451160,0.202086,0.300445
7.000000,0.050570,0.380637,0.173185,0.192812,0.343505,0.451180,0.201962,0.300002
7.200000,0.050573,0.380272,0.173105,0.192571,0.342907,0.451120,0.201887,0.299605
7.400000,0.050548,0.380048,0.173182,0.192667,0.342255,0.451059,0.201643,0.299191
7.600000,0.050558,0.379533,0.173067,0.192587,0.341746,0.450961,0.201672,0.298783
7.800000,0.050569,0.379598,0.173061,0.192717,0.341281,0.450918,0.201579,0.298321
8.000000,0.050550,0.379376,0.173051,0.192396,0.340679,0.450991,0.201432,0.297945
8.200000,0.050542,0.379115,0.172920,0.192352,0.340093,0.450944,0.201344,0.297545
8.400000,0.050615,0.379021,0.173053,0.192330,0.339610,0.450873,0.201343,0.297043
8.600000,0.050605,0.378662,0.173056,0.192284,0.339166,0.450821,0.201124,0.296716
8.800000,0.050548,0.378440,0.172897,0.192164,0.338448,0.450794,0.201206,0.296245
9.000000,0.050539,0.378122,0.172927,0.192060,0.338107,0.450599,0.201067,0.295904
9.200000,0.050489,0.377863,0.172972,0.191922,0.337432,0.450604,0.200991,0.295478
9.400000,0.050549,0.377767,0.173144,0.191817,0.337022,0.450679,0.200807,0.295104
9.600000,0.050544,0.377559,0.172931,0.191928,0.336564,0.450644,0.200835,0.294762
9.800000,0.050644,0.377263,0.172980,0.191802,0.335902,0.450528,0.200712,0.294203
10.000000,0.050513,0.377042,0.172966,0.191716,0.335429,0.450497,0.200664,0.293965
10.200000,0.050516,0.376772,0.173005,0.191535,0.334951,0.450517,0.200546,0.293576
10.400000,0.050384,0.376535,0.172738,0.191639,0.334550,0.450329,0.200477,0.293222
10.600000,0.050505,0.376405,0.172905,0.191600,0.334056,0.450376,0.200483,0.292810
10.800000,0.050377,0.375993,0.172936,0.191346,0.333406,0.450363,0.200343,0.292409
11.000000,0.050523,0.375971,0.172885,0.191473,0.332950,0.450388,0.200243,0.292003
11.200000,0.050500,0.375540,0.172875,0.191417,0.332598,0.450303,0.200169,0.291711
11.400000,0.050629,0.375609,0.172774,0.191197,0.332093,0.450176,0.200067,0.291292
11.600000,0.050564,0.375093,0.172995,0.191247,0.331671,0.450248,0.200014,0.290922
11.800000,0.050484,0.374976,0.173014,0.191050,0.331068,0.450143,0.199745,0.290504
12.000000,0.050482,0.374860,0.172921,0.191110,0.330409,0.450252,0.199772,0.290360
12.200000,0.050462,0.374686,0.172797,0.190910,0.330092,0.450005,0.199743,0.289779
12.400000,0.050482,0.374365,0.172528,0.190935,0.329669,0.450009,0.199629,0.289608
12.600000,0.050464,0.374123,0.172838,0.191007,0.328994,0.449852,0.199565,0.289022
12.800000,0.050480,0.373932,0.172779,0.190949,0.328757,0.449830,0.199578,0.288559
13.000000,0.050482,0.373657,0.172657,0.190868,0.328301,0.449749,0.199362,0.288486
13.200000,0.050423,0.373502,0.172687,0.190710,0.327795,0.449895,0.199187,0.288053
13.400000,0.050468,0.373439,0.172762,0.190598,0.327327,0.449864,0.199395,0.287663
13.600000,0.050482,0.373169,0.172606,0.190651,0.326850,0.449733,0.199259,0.287381
13.800000,0.050453,0.372788,0.172613,0.190574,0.326428,0.449684,0.199100,0.287046
14.000000,0.050455,0.372787,0.172629,0.190607,0.326215,0.449761,0.199051,0.286792
14.200000,0.050428,0.372641,0.172876,0.190513,0.325778,0.449758,0.199080,0.286285
14.400000,0.050434,0.372461,0.172765,0.190529,0.325390,0.449650,0.198838,0.285904
14.600000,0.050434,0.372273,0.172752,0.190367,0.324978,0.449626,0.198761,0.285525
14.800000,0.050272,0.371927,0.172876,0.190235,0.324516,0.449548,0.198699,0.285521
15.000000,0.050433,0.371809,0.172727,0.190132,0.324003,0.449423,0.198674,0.285225
15.200000,0.050429,0.371698,0.172588,0.190213,0.323691,0.449615,0.198652,0.285028
15.400000,0.050431,0.371631,0.172631,0.190225,0.323330,0.449503,0.198545,0.284472
15.600000,0.050424,0.371379,0.172709,0.190151,0.322908,0.449512,0.198490,0.284131
15.800000,0.050440,0.371333,0.172675,0.190069,0.322558,0.449268,0.198354,0.283986
16.000000,0.050397,0.371073,0.172716,0.190035,0.322028,0.449305,0.198342,0.283728
16.200000,0.050417,0.370902,0.172712,0.189884,0.321747,0.449376,0.198263,0.283278
