时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.048838,0.354752,0.130465,0.160698,0.361174,0.501740,0.181135,0.299971
0.400000,0.048667,0.353905,0.130321,0.160508,0.359255,0.501423,0.180947,0.298503
0.600000,0.048658,0.353394,0.130275,0.160309,0.358209,0.501633,0.180921,0.297703
0.800000,0.048617,0.353036,0.130298,0.160064,0.357028,0.501509,0.180543,0.296916
1.000000,0.048674,0.352781,0.130346,0.159923,0.356057,0.501264,0.180438,0.296090
1.200000,0.048650,0.352181,0.130287,0.159792,0.354983,0.501276,0.180334,0.295273
1.400000,0.048615,0.351910,0.130284,0.159488,0.354129,0.501312,0.180163,0.294564
1.600000,0.048634,0.390585,0.130113,0.159532,0.353034,0.501318,0.180011,0.293747
1.800000,0.048595,0.351106,0.130225,0.159394,0.352002,0.501195,0.179860,0.293104
2.000000,0.048612,0.350755,0.130047,0.159171,0.351116,0.500971,0.179548,0.292428
2.200000,0.048607,0.350487,0.130163,0.159168,0.350108,0.501016,0.179530,0.291643
2.400000,0.048588,0.350087,0.130252,0.159097,0.348859,0.501072,0.179349,0.290974
2.600000,0.048596,0.349757,0.130008,0.158889,0.348163,0.501049,0.179174,0.290164
2.800000,0.048609,0.349371,0.130251,0.158724,0.347267,0.500953,0.179185,0.289438
3.000000,0.048553,0.349081,0.130093,0.158649,0.346240,0.501076,0.179061,0.288714
3.200000,0.048670,0.348520,0.130104,0.158450,0.345219,0.500901,0.178809,0.288008
3.400000,0.048583,0.348302,0.129936,0.158451,0.344242,0.500771,0.178821,0.287173
3.600000,0.048558,0.347988,0.130188,0.158216,0.343190,0.500784,0.178403,0.286463
3.800000,0.048550,0.347722,0.130046,0.158227,0.342305,0.500640,0.178490,0.285882
4.000000,0.048536,0.347217,0.129898,0.157806,0.341460,0.500521,0.178165,0.285271
4.200000,0.048528,0.346972,0.129941,0.157925,0.340424,0.500506,0.178056,0.284530
4.400000,0.048531,0.346614,0.129979,0.157706,0.339793,0.500404,0.178037,0.283760
4.600000,0.048653,0.346208,0.129862,0.157735,0.338769,0.500485,0.177783,0.283190
4.800000,0.048532,0.345940,0.129988,0.157538,0.337954,0.500439,0.177709,0.282292
5.000000,0.048497,0.345386,0.129896,0.157405,0.336856,0.500382,0.177519,0.281817
5.200000,0.048385,0.345220,0.129710,0.157227,0.336038,0.500333,0.177311,0.281122
5.400000,0.048376,0.344891,0.129886,0.157105,0.335229,0.500209,0.177196,0.280310
5.600000,0.048478,0.344557,0.129846,0.157154,0.334207,0.500301,0.177052,0.279816
5.800000,0.048474,0.344276,0.129846,0.156914,0.333456,0.500063,0.176907,0.279171
6.000000,0.048494,0.344042,0.129758,0.156643,0.332597,0.500095,0.176843,0.278514
6.200000,0.048491,0.343609,0.129820,0.156541,0.331740,0.499907,0.176749,0.277886
6.400000,0.048509,0.343183,0.129806,0.156530,0.330920,0.499971,0.176571,0.277250
6.600000,0.048459,0.342720,0.129803,0.156380,0.329739,0.499731,0.176296,0.276240
6.800000,0.048465,0.342436,0.129703,0.117211,0.328920,0.499793,0.176182,0.275778
7.000000,0.048340,0.342332,0.129786,0.156108,0.327932,0.499703,0.176049,0.275238
7.200000,0.048475,0.341869,0.129709,0.155959,0.327178,0.499686,0.175923,0.274528
7.400000,0.048457,0.341507,0.129773,0.156063,0.326423,0.499713,0.175779,0.273795
7.600000,0.048404,0.341389,0.129845,0.155760,0.325494,0.499671,0.175610,0.273430
7.800000,0.048416,0.340943,0.129703,0.155756,0.324768,0.499423,0.175508,0.272701
8.000000,0.048419,0.340588,0.129696,0.155531,0.324013,0.499508,0.175357,0.272115
8.200000,0.048435,0.340496,0.129645,0.155368,0.323041,0.499270,0.175209,0.271322
8.400000,0.048444,0.340217,0.129582,0.155485,0.322553,0.499293,0.175109,0.270894
8.600000,0.048479,0.339872,0.129550,0.155317,0.321724,0.499306,0.174961,0.270357
8.800000,0.048405,0.339516,0.129619,0.155480,0.320987,0.499207,0.174764,0.269641
9.000000,0.048378,0.339338,0.129665,0.155174,0.320022,0.499072,0.174664,0.269231
9.200000,0.048391,0.338991,0.129650,0.154999,0.319468,0.499080,0.174438,0.268656
9.400000,0.048422,0.338618,0.129668,0.154927,0.318743,0.499100,0.174436,0.268129
9.600000,0.048250,0.338460,0.129476,0.154757,0.317903,0.498980,0.174304,0.267587
9.800000,0.048229,0.338252,0.129647,0.154700,0.317096,0.498959,0.174186,0.266883
10.000000,0.048240,0.337854,0.129442,0.154520,0.316467,0.498881,0.174019,0.266470
10.200000,0.048522,0.337533,0.129513,0.154434,0.315629,0.498956,0.174084,0.265884
10.400000,0.048397,0.337508,0.129578,0.154376,0.315026,0.498908,0.173870,0.265434
10.600000,0.048361,0.337118,0.129451,0.154403,0.314378,0.498744,0.173703,0.264906
10.800000,0.048356,0.337039,0.129396,0.154173,0.313635,0.498521,0.173596,0.264180
11.000000,0.048349,0.336691,0.129442,0.154105,0.312988,0.498638,0.173438,0.263804
11.200000,0.048231,0.336181,0.129268,0.153998,0.312261,0.498603,0.173329,0.263298
11.400000,0.048321,0.336024,0.129393,0.153893,0.311634,0.498398,0.173082,0.262805
11.600000,0.048471,0.335851,0.129430,0.153704,0.311118,0.498453,0.173124,0.262423
11.800000,0.048330,0.335642,0.129350,0.153583,0.310075,0.498354,0.172983,0.261754
12.000000,0.048307,0.335317,0.129522,0.153610,0.309572,0.498329,0.172735,0.261318
12.200000,0.048342,0.335233,0.129541,0.153390,0.308848,0.498344,0.172770,0.260727
12.400000,0.048292,0.334838,0.129324,0.153273,0.308188,0.498273,0.172398,0.260279
12.600000,0.048221,0.334766,0.129327,0.153390,0.307552,0.498195,0.172542,0.259632
12.800000,0.048305,0.334449,0.129160,0.153230,0.306782,0.497908,0.172408,0.259217
13.000000,0.048254,0.334103,0.129092,0.153151,0.305963,0.498051,0.172420,0.258904
13.200000,0.048299,0.333811,0.129268,0.153043,0.305492,0.497955,0.172111,0.258332
13.400000,0.048299,0.333656,0.129240,0.153003,0.304814,0.497920,0.172083,0.258009
13.600000,0.048291,0.333335,0.129294,0.152754,0.304355,0.498002,0.171837,0.257394
13.800000,0.048324,0.332732,0.129023,0.152799,0.303802,0.497769,0.171724,0.256844
14.000000,0.048255,0.332841,0.129168,0.152538,0.303221,0.497727,0.171739,0.256593
14.200000,0.048262,0.332764,0.129153,0.152622,0.302643,0.497697,0.171612,0.256187
14.400000,0.048236,0.332410,0.129140,0.152365,0.302076,0.497555,0.171611,0.255625
14.600000,0.048107,0.332190,0.129217,0.152463,0.301492,0.497573,0.171432,0.255253
14.800000,0.048280,0.332266,0.129124,0.152309,0.300965,0.497575,0.171314,0.254805
15.000000,0.048252,0.331897,0.128995,0.152417,0.300344,0.497502,0.171225,0.254445
15.200000,0.048271,0.331863,0.129135,0.152249,0.299815,0.497306,0.171148,0.254010
15.400000,0.048254,0.331556,0.128992,0.152290,0.299099,0.497239,0.170908,0.253676
15.600000,0.048234,0.331161,0.128959,0.151989,0.298479,0.497381,0.170980,0.252960
15.800000,0.048255,0.331001,0.129184,0.152099,0.298135,0.497189,0.170785,0.252771
16.000000,0.048280,0.330889,0.129079,0.151870,0.297694,0.497258,0.170735,0.252355
16.200000,0.048248,0.330768,0.129100,0.151675,0.296938,0.497163,0.170698,0.251997
16.400000,0.048239,0.330470,0.129040,0.151714,0.296571,0.497231,0.170547,0.251596
16.600000,0.048225,0.330272,0.128968,0.151738,0.295960,0.497038,0.170406,0.251134
16.800000,0.048233,0.330086,0.129059,0.151788,0.295411,0.496827,0.170409,0.250996
