时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.053326,0.436422,0.192041,0.254015,0.510734,0.410981,0.246376,0.433617
0.400000,0.053197,0.435516,0.191839,0.253478,0.508280,0.410882,0.245947,0.431572
0.600000,0.053149,0.435185,0.191820,0.253100,0.506988,0.410889,0.245815,0.430450
0.800000,0.053195,0.434468,0.191710,0.252825,0.505542,0.410758,0.245593,0.429635
1.000000,0.053148,0.433817,0.191701,0.252525,0.504144,0.410765,0.245319,0.428153
1.200000,0.053141,0.433366,0.191616,0.252152,0.502930,0.410631,0.245294,0.427521
1.400000,0.053148,0.432955,0.191706,0.251792,0.501660,0.410696,0.245118,0.426617
1.600000,0.053117,0.432149,0.191537,0.251550,0.500286,0.410503,0.245024,0.425504
1.800000,0.052991,0.431946,0.191525,0.251076,0.499072,0.410473,0.244738,0.424402
2.000000,0.053073,0.431513,0.191622,0.250996,0.497716,0.410491,0.244319,0.423465
2.200000,0.053092,0.431135,0.191531,0.250682,0.496244,0.410733,0.244458,0.422608
2.400000,0.052909,0.430523,0.191479,0.250329,0.495191,0.410553,0.244284,0.421482
2.600000,0.052952,0.429934,0.191425,0.249746,0.493863,0.410383,0.244136,0.420562
2.800000,0.052915,0.429522,0.191363,0.249583,0.492696,0.410334,0.243917,0.419582
3.000000,0.053053,0.428942,0.191419,0.249456,0.491431,0.410358,0.243787,0.418662
3.200000,0.053017,0.428497,0.191321,0.249032,0.490056,0.410500,0.243623,0.417675
3.400000,0.052960,0.428274,0.191447,0.248817,0.488887,0.410333,0.243351,0.416678
3.600000,0.053023,0.427670,0.191277,0.248530,0.487394,0.410413,0.243341,0.415792
3.800000,0.053026,0.427164,0.191228,0.247956,0.486555,0.410405,0.243026,0.414807
4.000000,0.052871,0.426785,0.191259,0.247932,0.485311,0.410367,0.242831,0.413945
4.200000,0.052823,0.426242,0.191223,0.247706,0.484068,0.410453,0.242669,0.413061
4.400000,0.052959,0.425635,0.190907,0.247220,0.482872,0.410187,0.242612,0.411978
4.600000,0.053076,0.425351,0.191143,0.246900,0.481733,0.410250,0.242390,0.411200
4.800000,0.052810,0.424883,0.191078,0.246735,0.480387,0.410228,0.242429,0.410434
