时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.046005,0.380496,0.116297,0.192708,0.481667,0.455012,0.209510,0.397408
0.400000,0.045875,0.379233,0.116391,0.191575,0.478353,0.454698,0.208679,0.394874
0.600000,0.045813,0.378867,0.116228,0.191215,0.476586,0.454749,0.208246,0.393393
0.800000,0.045845,0.378265,0.116186,0.190694,0.474706,0.454620,0.207596,0.392221
1.000000,0.045819,0.377591,0.115985,0.190408,0.473117,0.454664,0.207301,0.391034
1.200000,0.045812,0.377037,0.116057,0.189741,0.471507,0.454612,0.206863,0.389528
1.400000,0.045805,0.376476,0.116048,0.189093,0.469626,0.454461,0.206306,0.388217
1.600000,0.045668,0.375824,0.115864,0.188823,0.468062,0.454302,0.205981,0.386831
1.800000,0.045646,0.375264,0.115902,0.188356,0.466176,0.454272,0.205535,0.385668
2.000000,0.045784,0.374821,0.115815,0.188050,0.464691,0.454371,0.205076,0.384435
2.200000,0.045697,0.374185,0.115734,0.187587,0.463091,0.454189,0.204533,0.383082
2.400000,0.045737,0.373651,0.115728,0.186962,0.461339,0.454130,0.204155,0.381848
2.600000,0.045711,0.373014,0.115571,0.186628,0.459612,0.454243,0.203599,0.380447
2.800000,0.045685,0.372500,0.115595,0.186254,0.458036,0.453808,0.203381,0.379287
3.000000,0.045702,0.371857,0.115633,0.185850,0.456650,0.453876,0.202847,0.378015
3.200000,0.045668,0.371419,0.115475,0.185345,0.454968,0.453910,0.202391,0.376918
3.400000,0.045648,0.371020,0.115421,0.185089,0.453202,0.453695,0.201820,0.375660
3.600000,0.045770,0.370361,0.115299,0.184566,0.451681,0.453727,0.201275,0.374573
3.800000,0.045657,0.370059,0.115275,0.184056,0.450295,0.453438,0.201088,0.373319
4.000000,0.045660,0.369548,0.115241,0.183862,0.448651,0.453514,0.200667,0.372012
4.200000,0.045600,0.368930,0.115201,0.183340,0.447210,0.453426,0.200346,0.370972
4.400000,0.045548,0.368391,0.115082,0.182864,0.445740,0.453389,0.199759,0.369735
4.600000,0.045462,0.367767,0.115168,0.182471,0.444109,0.453199,0.199318,0.368554
4.800000,0.045553,0.367384,0.115057,0.182137,0.442637,0.453467,0.198941,0.367427
5.000000,0.045561,0.366932,0.114971,0.181615,0.441153,0.453168,0.198391,0.366336
5.200000,0.045540,0.366437,0.114982,0.181282,0.439732,0.453116,0.197985,0.364992
5.400000,0.045535,0.366098,0.114794,0.180905,0.438229,0.453053,0.197740,0.364015
5.600000,0.045537,0.365506,0.114599,0.180522,0.436778,0.453026,0.197203,0.363094
5.800000,0.045496,0.365092,0.114753,0.180063,0.435404,0.452831,0.196757,0.361787
6.000000,0.045499,0.364541,0.114671,0.179710,0.433997,0.452868,0.196354,0.360810
6.200000,0.045493,0.364049,0.114647,0.179364,0.432441,0.452689,0.195941,0.359576
6.400000,0.045488,0.363481,0.114565,0.179026,0.430930,0.452648,0.195601,0.358485
6.600000,0.045471,0.362950,0.114547,0.178404,0.429313,0.452434,0.195159,0.357189
6.800000,0.045460,0.362605,0.114571,0.178113,0.428060,0.452381,0.194588,0.356152
7.000000,0.045441,0.362148,0.114473,0.177736,0.426729,0.452395,0.194142,0.355116
7.200000,0.045406,0.361390,0.114400,0.177425,0.425208,0.452330,0.193698,0.354129
7.400000,0.045400,0.361055,0.114355,0.177017,0.423787,0.452148,0.193204,0.353003
7.600000,0.045409,0.360735,0.114139,0.176806,0.422587,0.452157,0.192963,0.352015
7.800000,0.045362,0.360309,0.114257,0.176162,0.421165,0.451993,0.192553,0.350948
8.000000,0.045360,0.359856,0.114194,0.176084,0.419954,0.451992,0.192065,0.349903
8.200000,0.045336,0.359406,0.114097,0.175685,0.418626,0.451899,0.191747,0.348946
8.400000,0.045298,0.358944,0.114111,0.175437,0.417310,0.451898,0.191292,0.347951
8.600000,0.045335,0.358652,0.114056,0.174881,0.415961,0.451528,0.190772,0.346876
8.800000,0.045246,0.357850,0.113873,0.174658,0.414734,0.451627,0.190483,0.345991
9.000000,0.045455,0.357807,0.114000,0.174311,0.413486,0.451580,0.190175,0.345050
9.200000,0.045307,0.357308,0.113837,0.173971,0.412166,0.451407,0.189708,0.344138
9.400000,0.045179,0.356911,0.113964,0.173621,0.411018,0.451310,0.189238,0.343049
9.600000,0.045285,0.356500,0.113758,0.173294,0.409817,0.451301,0.188947,0.342273
9.800000,0.045276,0.356264,0.113736,0.173107,0.408500,0.451347,0.188576,0.341482
10.000000,0.045239,0.355834,0.113753,0.172705,0.407321,0.451201,0.188221,0.340306
10.200000,0.045270,0.355303,0.113699,0.172300,0.406252,0.451073,0.187739,0.339363
10.400000,0.045198,0.355064,0.113527,0.171931,0.405167,0.450961,0.187522,0.338450
10.600000,0.045210,0.354692,0.113618,0.171736,0.403929,0.451002,0.187104,0.337815
10.800000,0.045218,0.354101,0.113589,0.171447,0.402770,0.450885,0.186673,0.336705
11.000000,0.045214,0.354000,0.113413,0.171090,0.401636,0.450704,0.186354,0.335913
11.200000,0.045244,0.353488,0.113489,0.170754,0.400429,0.450876,0.185984,0.334992
11.400000,0.045045,0.352991,0.113157,0.170538,0.399266,0.450669,0.185618,0.334082
11.600000,0.045109,0.352573,0.113431,0.170022,0.398240,0.450481,0.185156,0.333052
11.800000,0.045016,0.352200,0.113460,0.169925,0.397012,0.450560,0.184870,0.332424
12.000000,0.045171,0.351976,0.113466,0.169754,0.395859,0.450511,0.184500,0.331711
12.200000,0.045021,0.312514,0.113285,0.169359,0.394747,0.450400,0.184166,0.330808
12.400000,0.045110,0.351397,0.113317,0.169190,0.393772,0.450337,0.183848,0.329815
12.600000,0.045128,0.350733,0.113362,0.168616,0.392349,0.450161,0.183372,0.328774
12.800000,0.045104,0.350368,0.113289,0.168171,0.391367,0.450141,0.182970,0.328120
13.000000,0.045083,0.350176,0.113175,0.168086,0.390461,0.450106,0.182739,0.327326
13.200000,0.045102,0.349811,0.112958,0.167941,0.389398,0.449838,0.182378,0.326514
13.400000,0.045099,0.349488,0.112970,0.167832,0.388386,0.449912,0.181997,0.325848
13.600000,0.045058,0.348947,0.113031,0.167348,0.387337,0.449706,0.181710,0.324870
13.800000,0.045071,0.348696,0.113004,0.167232,0.386378,0.449596,0.181465,0.324394
14.000000,0.045158,0.348409,0.112879,0.166814,0.385532,0.449604,0.181080,0.323297
14.200000,0.045062,0.348288,0.113025,0.166489,0.384611,0.449609,0.180732,0.322861
14.400000,0.045039,0.347830,0.113038,0.166433,0.383747,0.449427,0.180418,0.322192
14.600000,0.045052,0.347452,0.112823,0.166320,0.382702,0.449619,0.180199,0.321596
14.800000,0.045029,0.347170,0.112808,0.165942,0.381788,0.449495,0.179702,0.320623
15.000000,0.044982,0.346963,0.112714,0.165699,0.380724,0.449120,0.179294,0.319849
15.200000,0.044985,0.346800,0.112631,0.165277,0.379727,0.449228,0.179170,0.319433
15.400000,0.045042,0.346298,0.112743,0.165233,0.379131,0.449199,0.178978,0.318628
15.600000,0.044962,0.346039,0.112705,0.164991,0.378264,0.449076,0.178554,0.317941
15.800000,0.044993,0.345842,0.112691,0.164681,0.377156,0.448958,0.178354,0.317308
16.000000,0.044951,0.345458,0.112499,0.164480,0.376334,0.449040,0.177974,0.316545
16.200000,0.044980,0.345206,0.112751,0.164198,0.375612,0.448921,0.177729,0.315940
16.400000,0.044964,0.344898,0.112634,0.163881,0.374688,0.448844,0.177420,0.315162
16.600000,0.044946,0.344501,0.112515,0.163776,0.373735,0.448726,0.176909,0.314611
16.800000,0.044947,0.344156,0.112483,0.163525,0.372812,0.448617,0.176803,0.313917
17.000000,0.044923,0.343735,0.112568,0.163271,0.371999,0.448734,0.176423,0.313413
