时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.055170,0.382199,0.220752,0.229268,0.310311,0.358300,0.239147,0.289096
0.400000,0.054780,0.381028,0.220333,0.228968,0.309546,0.358109,0.238525,0.288394
0.600000,0.054923,0.381227,0.220515,0.228865,0.309535,0.358077,0.238695,0.288306
0.800000,0.054891,0.381022,0.220442,0.228997,0.309168,0.358213,0.238702,0.288269
1.000000,0.054897,0.380864,0.220593,0.229015,0.309269,0.358128,0.238829,0.288091
1.200000,0.054791,0.380994,0.220476,0.228848,0.309166,0.358007,0.238758,0.288128
1.400000,0.054873,0.380956,0.220433,0.228736,0.309076,0.358056,0.238705,0.288022
1.600000,0.054883,0.380911,0.220341,0.228968,0.308979,0.358002,0.238727,0.287995
1.800000,0.054865,0.380620,0.220485,0.228850,0.308625,0.357889,0.238510,0.287747
2.000000,0.054916,0.380563,0.220595,0.228793,0.308610,0.357983,0.238785,0.287747
2.200000,0.054862,0.380687,0.220468,0.228912,0.308403,0.357831,0.238583,0.287709
2.400000,0.054834,0.380594,0.220532,0.228646,0.308331,0.357841,0.238752,0.287513
2.600000,0.054824,0.380511,0.220399,0.228502,0.308292,0.357839,0.238640,0.287445
2.800000,0.054923,0.380282,0.220405,0.228760,0.308187,0.357893,0.238596,0.287393
3.000000,0.054721,0.380355,0.220346,0.228812,0.307948,0.357965,0.238555,0.287282
3.200000,0.054870,0.380298,0.220608,0.228750,0.307889,0.357880,0.238532,0.287064
3.400000,0.054857,0.380139,0.220499,0.228873,0.307787,0.357926,0.238518,0.287320
3.600000,0.054884,0.380195,0.220620,0.228859,0.307702,0.357949,0.238504,0.286866
3.800000,0.054835,0.380046,0.220460,0.228837,0.307589,0.357935,0.238371,0.286765
4.000000,0.054839,0.379998,0.220467,0.228673,0.307491,0.357878,0.238469,0.286862
4.200000,0.054857,0.380081,0.220488,0.228813,0.307576,0.357934,0.238487,0.286774
4.400000,0.054864,0.379942,0.220624,0.228846,0.307455,0.357949,0.238414,0.286762
4.600000,0.054846,0.379673,0.220376,0.228769,0.307044,0.357874,0.238345,0.286701
4.800000,0.054857,0.379900,0.220593,0.228879,0.307114,0.357901,0.238385,0.286615
5.000000,0.054842,0.379646,0.220482,0.228763,0.306890,0.357930,0.238419,0.286517
5.200000,0.054631,0.379461,0.220359,0.228685,0.306551,0.357704,0.238267,0.286107
5.400000,0.054930,0.379545,0.220399,0.228862,0.306773,0.357890,0.238357,0.286177
5.600000,0.054805,0.379555,0.220407,0.228725,0.306561,0.357873,0.238439,0.286240
5.800000,0.054823,0.379449,0.220485,0.228617,0.306502,0.357836,0.238453,0.286097
6.000000,0.054834,0.379158,0.220342,0.228590,0.306360,0.357740,0.238296,0.285838
6.200000,0.054853,0.379328,0.220447,0.228640,0.306200,0.357809,0.238016,0.285887
6.400000,0.054904,0.379148,0.220407,0.228669,0.306024,0.357944,0.238060,0.285739
6.600000,0.054652,0.379174,0.220355,0.228642,0.306148,0.357714,0.238037,0.285662
6.800000,0.054910,0.378972,0.220373,0.228596,0.305868,0.357720,0.238060,0.285577
7.000000,0.054823,0.378940,0.220406,0.228660,0.305858,0.357779,0.238141,0.285513
7.200000,0.054894,0.378897,0.220388,0.228713,0.305670,0.357709,0.238159,0.285479
7.400000,0.054871,0.378846,0.220313,0.228456,0.305369,0.357600,0.238133,0.285436
7.600000,0.054912,0.378656,0.220448,0.228664,0.305562,0.357547,0.238073,0.285232
7.800000,0.054753,0.378699,0.220391,0.228591,0.305479,0.357620,0.238177,0.285307
8.000000,0.054922,0.378521,0.220345,0.228449,0.305266,0.357528,0.238071,0.284951
8.200000,0.054651,0.378403,0.220407,0.228483,0.305097,0.357603,0.237953,0.284969
8.400000,0.054555,0.378202,0.220450,0.228515,0.304880,0.357639,0.237905,0.284976
8.600000,0.054782,0.378535,0.220385,0.228519,0.304934,0.357577,0.237970,0.284844
8.800000,0.054644,0.378271,0.220417,0.228429,0.304718,0.357439,0.237941,0.284706
9.000000,0.054901,0.378339,0.220447,0.228559,0.304651,0.357461,0.237784,0.284632
9.200000,0.054675,0.378140,0.220436,0.228546,0.304678,0.357550,0.238028,0.284728
9.400000,0.054759,0.378228,0.220452,0.228549,0.304538,0.357465,0.237947,0.284518
9.600000,0.054749,0.378050,0.220435,0.228487,0.304384,0.357527,0.237893,0.284398
9.800000,0.054641,0.377926,0.220444,0.228493,0.304123,0.357331,0.238031,0.284140
10.000000,0.054633,0.377953,0.220397,0.228389,0.304130,0.357450,0.237840,0.284199
10.200000,0.054820,0.377858,0.220238,0.228524,0.304067,0.357378,0.237826,0.284189
10.400000,0.054734,0.377742,0.220397,0.228488,0.303834,0.357369,0.237595,0.283933
10.600000,0.054803,0.377917,0.220453,0.228297,0.303915,0.357363,0.237880,0.283857
10.800000,0.054914,0.377765,0.220286,0.228512,0.303711,0.357447,0.237580,0.283830
11.000000,0.054781,0.377579,0.220360,0.228384,0.303563,0.357378,0.237877,0.283764
11.200000,0.054638,0.377577,0.220401,0.228331,0.303488,0.357493,0.237779,0.283772
11.400000,0.054725,0.377493,0.220436,0.228210,0.303370,0.357441,0.237725,0.283710
11.600000,0.054775,0.377498,0.220383,0.228429,0.303291,0.357376,0.237695,0.283625
11.800000,0.054712,0.377308,0.220324,0.228315,0.303145,0.357111,0.237601,0.283505
12.000000,0.054688,0.377204,0.220199,0.228335,0.302963,0.357332,0.237616,0.283235
12.200000,0.054758,0.377295,0.220372,0.228272,0.302928,0.357149,0.237607,0.283214
12.400000,0.054764,0.377343,0.220348,0.228463,0.302929,0.357251,0.237464,0.283241
12.600000,0.054780,0.377150,0.220313,0.228339,0.302585,0.357315,0.237440,0.283114
12.800000,0.054631,0.376996,0.220217,0.228409,0.302716,0.357334,0.237555,0.282908
13.000000,0.054754,0.377159,0.220357,0.228360,0.302537,0.357413,0.237538,0.282959
13.200000,0.054920,0.376883,0.220279,0.228364,0.302430,0.357170,0.237540,0.282840
13.400000,0.054632,0.376849,0.220484,0.228390,0.302300,0.357267,0.237449,0.282726
13.600000,0.054762,0.376720,0.220300,0.228161,0.302172,0.357091,0.237533,0.282560
13.800000,0.054761,0.376840,0.220311,0.228294,0.302127,0.357358,0.237498,0.282642
14.000000,0.054639,0.376717,0.220311,0.228225,0.302039,0.357186,0.237233,0.282584
14.200000,0.054860,0.376583,0.220341,0.228377,0.302017,0.357033,0.237284,0.282499
14.400000,0.054761,0.376547,0.220227,0.228292,0.301852,0.357153,0.237387,0.282388
14.600000,0.054750,0.376502,0.220315,0.228185,0.301738,0.357183,0.237328,0.282270
14.800000,0.054706,0.376326,0.220324,0.228059,0.301657,0.357187,0.237328,0.282258
15.000000,0.054746,0.376419,0.220196,0.228122,0.301368,0.357169,0.237327,0.282178
15.200000,0.054696,0.375989,0.220175,0.227975,0.301237,0.356823,0.237253,0.281951
15.400000,0.054718,0.376237,0.220233,0.228028,0.301296,0.357078,0.237170,0.281856
15.600000,0.054709,0.376126,0.220317,0.228267,0.301217,0.357194,0.237208,0.281864
15.800000,0.054740,0.376036,0.220336,0.228142,0.301075,0.357153,0.237127,0.281886
16.000000,0.054732,0.376039,0.220467,0.228130,0.301129,0.357268,0.237246,0.281867
16.200000,0.054746,0.376049,0.220484,0.228246,0.301030,0.356936,0.237234,0.281494
16.400000,0.054717,0.376029,0.220417,0.228378,0.300843,0.357152,0.237404,0.281639
16.600000,0.054772,0.375655,0.220100,0.227898,0.300326,0.356844,0.237147,0.281540
16.800000,0.054709,0.375891,0.220340,0.228002,0.300516,0.356845,0.237010,0.281479
17.000000,0.054705,0.375958,0.220320,0.228134,0.300722,0.357144,0.237017,0.281495
17.200000,0.054740,0.375710,0.220245,0.228200,0.300511,0.357000,0.237199,0.281417
17.400000,0.054728,0.375522,0.220280,0.228228,0.300425,0.356935,0.237107,0.281266
17.600000,0.054742,0.375741,0.220270,0.228220,0.300397,0.357055,0.237069,0.281169
17.800000,0.054869,0.375593,0.220283,0.228257,0.300439,0.356967,0.237104,0.281172
18.000000,0.054762,0.375599,0.220271,0.228147,0.300111,0.356966,0.237052,0.281085
18.200000,0.054631,0.375463,0.220248,0.228226,0.299996,0.357022,0.237093,0.281044
18.400000,0.054726,0.375454,0.220263,0.227971,0.300135,0.356760,0.237074,0.280857
