时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.228677,0.370741,0.158290,0.182222,0.368013,0.519797,0.182362,0.312743
0.400000,0.228235,0.369898,0.158346,0.181909,0.366581,0.519683,0.182210,0.311557
0.600000,0.228272,0.369711,0.158278,0.181921,0.365844,0.519488,0.182089,0.310954
0.800000,0.228357,0.369439,0.158487,0.181842,0.365130,0.519568,0.182052,0.310422
1.000000,0.228145,0.368831,0.158250,0.181638,0.364353,0.519726,0.181974,0.309758
1.200000,0.228127,0.368723,0.158338,0.181634,0.363526,0.519532,0.181812,0.309193
1.400000,0.228225,0.368310,0.158187,0.181563,0.362821,0.519296,0.181672,0.308791
1.600000,0.228266,0.368155,0.158212,0.181522,0.362113,0.519408,0.181711,0.308368
1.800000,0.228152,0.367608,0.158227,0.181443,0.361209,0.519249,0.181523,0.307716
2.000000,0.228204,0.367167,0.158082,0.181398,0.360808,0.519320,0.181383,0.307033
2.200000,0.228166,0.366949,0.158102,0.181214,0.359941,0.519120,0.181133,0.306560
2.400000,0.228086,0.366649,0.158371,0.181097,0.359309,0.519157,0.181154,0.306042
2.600000,0.228052,0.366274,0.158135,0.181013,0.358537,0.519015,0.181080,0.305592
2.800000,0.228049,0.365967,0.158093,0.180911,0.357895,0.519137,0.180707,0.305020
3.000000,0.228019,0.365596,0.158034,0.180845,0.357128,0.518977,0.180870,0.304682
3.200000,0.227944,0.365366,0.158194,0.180797,0.356504,0.518991,0.180805,0.304001
3.400000,0.227992,0.365089,0.158086,0.180699,0.355597,0.518874,0.180665,0.303392
3.600000,0.227859,0.364868,0.157999,0.180623,0.355040,0.518729,0.180767,0.302896
3.800000,0.227919,0.364389,0.157943,0.180423,0.354300,0.518904,0.180361,0.302290
4.000000,0.227909,0.364111,0.157999,0.180451,0.353686,0.518652,0.180337,0.301933
4.200000,0.227690,0.363951,0.158080,0.180321,0.353058,0.518708,0.180227,0.301217
4.400000,0.227838,0.363432,0.157947,0.180281,0.352177,0.518598,0.180125,0.300791
4.600000,0.227808,0.363213,0.157720,0.180178,0.351552,0.518552,0.180091,0.300193
4.800000,0.227777,0.362930,0.157880,0.180126,0.350938,0.518642,0.179914,0.299944
5.000000,0.227764,0.362694,0.157871,0.179938,0.350078,0.518233,0.179868,0.299336
5.200000,0.227744,0.362365,0.157806,0.180038,0.349473,0.518385,0.179693,0.298811
5.400000,0.227684,0.362029,0.157847,0.180006,0.348996,0.518293,0.179620,0.298366
5.600000,0.227642,0.361551,0.157822,0.179782,0.348270,0.518126,0.179573,0.297911
5.800000,0.227531,0.361361,0.157731,0.179665,0.347455,0.518244,0.179464,0.297517
6.000000,0.227637,0.361143,0.157629,0.179468,0.346959,0.517920,0.179337,0.296824
6.200000,0.227634,0.360997,0.157634,0.179539,0.346375,0.518072,0.179089,0.296497
6.400000,0.227582,0.360610,0.157761,0.179527,0.345635,0.518134,0.179250,0.295984
6.600000,0.227520,0.360007,0.157716,0.179333,0.344780,0.517954,0.178728,0.295109
6.800000,0.227366,0.359851,0.157647,0.179245,0.343968,0.517938,0.178927,0.294648
