时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.045801,0.340331,0.129138,0.148367,0.319207,0.384805,0.167431,0.273654
0.400000,0.045732,0.339741,0.128983,0.148135,0.318022,0.384572,0.167227,0.272971
0.600000,0.045754,0.339491,0.128964,0.148115,0.317473,0.384466,0.167053,0.272294
0.800000,0.045724,0.338922,0.129124,0.147771,0.316624,0.384520,0.166966,0.271881
1.000000,0.045812,0.338832,0.128969,0.147799,0.316045,0.384399,0.166509,0.271269
1.200000,0.045753,0.338511,0.129043,0.147805,0.315459,0.384387,0.166641,0.270819
1.400000,0.045649,0.338156,0.128858,0.147546,0.314876,0.384463,0.166519,0.270343
1.600000,0.045715,0.338126,0.128927,0.147605,0.314214,0.384269,0.166464,0.269631
1.800000,0.045726,0.337617,0.128820,0.147692,0.313706,0.384273,0.166262,0.269198
2.000000,0.045667,0.337409,0.128959,0.147460,0.313057,0.384206,0.166161,0.268831
2.200000,0.045661,0.337125,0.128848,0.147359,0.312469,0.384119,0.166070,0.268486
2.400000,0.045700,0.336874,0.128830,0.147303,0.311754,0.384010,0.165876,0.267885
2.600000,0.045670,0.336481,0.128935,0.147187,0.311133,0.384024,0.165824,0.267390
2.800000,0.045662,0.336230,0.128887,0.147152,0.310407,0.383731,0.165680,0.266842
3.000000,0.045671,0.335943,0.128843,0.146948,0.309956,0.384024,0.165549,0.266520
3.200000,0.045643,0.335692,0.128871,0.147035,0.309395,0.383798,0.165373,0.265836
3.400000,0.045761,0.335249,0.128703,0.147024,0.308741,0.383738,0.165292,0.265358
3.600000,0.045642,0.335149,0.128832,0.146867,0.308116,0.383631,0.165118,0.265018
3.800000,0.045607,0.334849,0.128922,0.146727,0.307478,0.383612,0.165043,0.264559
4.000000,0.045473,0.334724,0.128890,0.146706,0.306954,0.383756,0.164894,0.264273
4.200000,0.045490,0.334172,0.128922,0.146788,0.306498,0.383570,0.164916,0.263799
4.400000,0.045607,0.334163,0.128780,0.146512,0.305699,0.383739,0.164644,0.263344
4.600000,0.045613,0.333772,0.128723,0.146536,0.305190,0.383492,0.164453,0.262794
4.800000,0.045571,0.333419,0.128734,0.146430,0.304658,0.383419,0.164432,0.262327
5.000000,0.045584,0.333394,0.128737,0.146199,0.304220,0.383450,0.164272,0.261690
5.200000,0.045555,0.332949,0.128706,0.146304,0.303493,0.383422,0.164043,0.261398
5.400000,0.045582,0.332694,0.128682,0.146185,0.302919,0.383281,0.164160,0.260887
5.600000,0.045581,0.332486,0.128683,0.146100,0.302415,0.383307,0.163903,0.260546
5.800000,0.045538,0.332033,0.128717,0.146174,0.301840,0.383228,0.163819,0.260062
6.000000,0.045537,0.331935,0.128763,0.146016,0.301302,0.383071,0.163642,0.259575
6.200000,0.045567,0.331736,0.128653,0.145915,0.300854,0.383114,0.163516,0.259148
6.400000,0.045570,0.331507,0.128678,0.145943,0.300192,0.383055,0.163395,0.258637
6.600000,0.045542,0.331076,0.128667,0.145728,0.299366,0.382760,0.163057,0.257890
6.800000,0.045528,0.330816,0.128484,0.145712,0.298861,0.382875,0.162965,0.257745
7.000000,0.045516,0.330460,0.128602,0.145450,0.298292,0.382974,0.163010,0.257280
7.200000,0.045623,0.330266,0.128524,0.145567,0.297706,0.382709,0.162917,0.256881
7.400000,0.045503,0.330116,0.128647,0.145462,0.297224,0.382848,0.162789,0.256580
7.600000,0.045342,0.329877,0.128582,0.145492,0.296676,0.382698,0.162522,0.255890
7.800000,0.045618,0.329645,0.128537,0.145360,0.296031,0.382666,0.162355,0.255725
8.000000,0.045404,0.329251,0.128556,0.145356,0.295596,0.382636,0.162360,0.255262
8.200000,0.045493,0.329147,0.128551,0.145395,0.295002,0.382415,0.162300,0.254787
8.400000,0.045342,0.329060,0.128563,0.145184,0.294539,0.382496,0.162186,0.254431
8.600000,0.045481,0.328826,0.128608,0.144996,0.293934,0.382510,0.161965,0.254088
8.800000,0.045466,0.328493,0.128353,0.144966,0.293702,0.382252,0.162043,0.253698
9.000000,0.045606,0.328322,0.128520,0.144965,0.293187,0.382380,0.161838,0.253394
9.200000,0.045472,0.328193,0.128456,0.144911,0.292743,0.382365,0.161604,0.252948
9.400000,0.045441,0.327835,0.128341,0.144905,0.292129,0.382309,0.161452,0.252423
9.600000,0.045409,0.327721,0.128561,0.144506,0.291740,0.382248,0.161524,0.252194
9.800000,0.045419,0.327361,0.128235,0.144732,0.291128,0.382168,0.161405,0.251845
10.000000,0.045588,0.327187,0.128389,0.144792,0.290433,0.381851,0.161163,0.251455
10.200000,0.045450,0.326899,0.128456,0.144616,0.290073,0.381939,0.161127,0.250948
10.400000,0.045421,0.326754,0.128430,0.144507,0.289683,0.381798,0.160834,0.250536
