时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.204319,0.356172,0.160103,0.166923,0.305834,0.499796,0.176465,0.270736
0.400000,0.204237,0.355637,0.160046,0.166520,0.304951,0.499438,0.176174,0.269977
0.600000,0.204102,0.355516,0.159952,0.166705,0.304394,0.499558,0.176037,0.269463
0.800000,0.204086,0.354932,0.160041,0.166550,0.304104,0.499409,0.175806,0.269202
1.000000,0.204052,0.354842,0.160055,0.166599,0.303348,0.498968,0.175849,0.268822
1.200000,0.204068,0.354608,0.159890,0.166492,0.302984,0.499156,0.175702,0.268289
1.400000,0.203948,0.354266,0.159805,0.166493,0.302673,0.499036,0.175762,0.268249
1.600000,0.203927,0.353939,0.159868,0.166343,0.302086,0.499000,0.175559,0.267746
1.800000,0.203753,0.353934,0.159901,0.166459,0.301607,0.498840,0.175419,0.267376
2.000000,0.203955,0.353590,0.159883,0.166422,0.301175,0.498806,0.175421,0.266902
2.200000,0.203931,0.353401,0.159763,0.166409,0.300628,0.498520,0.175331,0.266714
2.400000,0.203914,0.353239,0.159631,0.166446,0.300247,0.498620,0.175244,0.266275
2.600000,0.203767,0.353012,0.159634,0.166364,0.299752,0.498406,0.175295,0.266035
2.800000,0.203881,0.352638,0.159850,0.166321,0.299296,0.498361,0.175076,0.265679
3.000000,0.203819,0.352328,0.159816,0.166239,0.298860,0.498117,0.175081,0.265316
3.200000,0.203825,0.352205,0.159707,0.166292,0.298375,0.498185,0.174727,0.265172
3.400000,0.203817,0.352148,0.159634,0.166042,0.298157,0.498108,0.174731,0.264689
3.600000,0.203801,0.351767,0.159700,0.166174,0.297558,0.497781,0.174591,0.264292
3.800000,0.203761,0.351664,0.159658,0.166103,0.296994,0.497860,0.174485,0.263995
4.000000,0.203699,0.351337,0.159451,0.166114,0.296577,0.497893,0.174410,0.263572
4.200000,0.203848,0.351015,0.159510,0.165882,0.296205,0.497444,0.174438,0.263320
4.400000,0.203721,0.350862,0.159723,0.166153,0.295864,0.497567,0.174364,0.262961
4.600000,0.203660,0.350723,0.159755,0.165972,0.295194,0.497335,0.174264,0.262613
4.800000,0.203650,0.350528,0.159673,0.165977,0.294939,0.497233,0.174152,0.262339
5.000000,0.203589,0.350223,0.159473,0.165918,0.294421,0.497165,0.174080,0.261987
5.200000,0.203571,0.349829,0.159499,0.165892,0.294058,0.497016,0.173989,0.261665
5.400000,0.203550,0.349875,0.159569,0.165843,0.293615,0.496875,0.173908,0.261331
5.600000,0.203501,0.349665,0.159605,0.165796,0.293180,0.496967,0.174009,0.261033
5.800000,0.203509,0.349574,0.159733,0.165764,0.292779,0.496608,0.173767,0.260717
6.000000,0.203437,0.349152,0.159711,0.165595,0.292323,0.496592,0.173650,0.260403
6.200000,0.203298,0.349006,0.159662,0.165763,0.292034,0.496432,0.173510,0.260081
6.400000,0.203488,0.348702,0.159484,0.165743,0.291296,0.496438,0.173629,0.259796
6.600000,0.203367,0.348424,0.159372,0.165676,0.290859,0.496156,0.173624,0.259311
6.800000,0.203363,0.348272,0.159638,0.165644,0.290387,0.496158,0.173359,0.259020
7.000000,0.203344,0.348172,0.159516,0.165467,0.290031,0.495943,0.173234,0.258700
7.200000,0.203347,0.347608,0.159581,0.165697,0.289708,0.495986,0.173302,0.258397
7.400000,0.203341,0.347735,0.159456,0.165687,0.289143,0.495909,0.173181,0.258102
7.600000,0.203306,0.347443,0.159503,0.165687,0.288972,0.495695,0.173071,0.257795
7.800000,0.203309,0.347372,0.159416,0.165414,0.288415,0.495678,0.172857,0.257680
8.000000,0.203273,0.347161,0.159558,0.165521,0.288186,0.495504,0.172913,0.257182
8.200000,0.203216,0.347114,0.159481,0.165550,0.287770,0.495552,0.172892,0.256857
8.400000,0.203244,0.346799,0.159493,0.165516,0.287441,0.495232,0.172765,0.256647
8.600000,0.203228,0.346510,0.159532,0.165477,0.286883,0.495293,0.172803,0.256197
8.800000,0.203246,0.346453,0.159408,0.165474,0.286650,0.495280,0.172706,0.256182
9.000000,0.203192,0.346348,0.159578,0.165489,0.286274,0.495080,0.172629,0.255784
9.200000,0.203203,0.346085,0.159571,0.165557,0.285934,0.494694,0.172436,0.255497
9.400000,0.203183,0.345823,0.159565,0.165316,0.285631,0.494784,0.172370,0.255187
9.600000,0.203171,0.345719,0.159450,0.165391,0.285171,0.494615,0.172376,0.254834
9.800000,0.202997,0.345584,0.159575,0.165337,0.284853,0.494561,0.172341,0.254724
10.000000,0.203168,0.345408,0.159731,0.165345,0.284423,0.494529,0.172275,0.254436
10.200000,0.203103,0.345022,0.159513,0.165287,0.284082,0.494494,0.172258,0.254147
10.400000,0.203224,0.344769,0.159479,0.165206,0.283731,0.494245,0.172244,0.253905
10.600000,0.203049,0.344705,0.159329,0.165107,0.283487,0.494230,0.171990,0.253450
10.800000,0.203073,0.344627,0.159307,0.165212,0.282995,0.494053,0.172046,0.253272
11.000000,0.203068,0.344188,0.159400,0.165171,0.282620,0.493931,0.171824,0.253016
11.200000,0.203064,0.344356,0.159550,0.165235,0.282245,0.493789,0.171917,0.252765
11.400000,0.203002,0.344037,0.159434,0.164955,0.281915,0.493709,0.171784,0.252411
11.600000,0.202967,0.343809,0.159594,0.165094,0.281640,0.493749,0.171857,0.252227
11.800000,0.202934,0.343641,0.159319,0.165193,0.281356,0.493550,0.171723,0.251902
12.000000,0.202813,0.343504,0.159410,0.165238,0.280794,0.493338,0.171573,0.251666
12.200000,0.202937,0.343313,0.159367,0.165070,0.280563,0.493345,0.171568,0.251385
12.400000,0.202914,0.343022,0.159552,0.165092,0.280265,0.493183,0.171511,0.251163
12.600000,0.202876,0.342945,0.159333,0.164992,0.279721,0.493012,0.171450,0.250853
12.800000,0.202878,0.342991,0.159237,0.165069,0.279440,0.493125,0.171388,0.250636
13.000000,0.202850,0.342610,0.159304,0.164993,0.279133,0.492720,0.171220,0.250289
13.200000,0.202827,0.342383,0.159280,0.164939,0.278842,0.492772,0.171291,0.250236
13.400000,0.202793,0.342346,0.159352,0.164875,0.278522,0.492712,0.171145,0.249924
13.600000,0.202643,0.342149,0.159324,0.164856,0.278082,0.492593,0.171101,0.249609
13.800000,0.202789,0.342051,0.159370,0.164821,0.278000,0.492834,0.171086,0.249452
14.000000,0.202641,0.341944,0.159318,0.164939,0.277596,0.492414,0.170904,0.249047
14.200000,0.202734,0.341711,0.159299,0.164779,0.277357,0.492379,0.171035,0.248925
14.400000,0.202758,0.341547,0.159428,0.164667,0.276997,0.492171,0.170953,0.248601
14.600000,0.202706,0.341387,0.159305,0.164911,0.276685,0.492091,0.170860,0.248462
14.800000,0.202631,0.341144,0.159251,0.164751,0.276273,0.491923,0.170828,0.248141
15.000000,0.202706,0.341080,0.159158,0.164916,0.276165,0.492030,0.170811,0.248093
15.200000,0.202715,0.340934,0.159153,0.164776,0.275857,0.491810,0.170609,0.247904
15.400000,0.202708,0.340785,0.159344,0.164728,0.275356,0.491563,0.170884,0.247647
15.600000,0.202680,0.340651,0.159379,0.164740,0.275264,0.491585,0.170710,0.247411
15.800000,0.202781,0.340346,0.159449,0.164737,0.274909,0.491592,0.170714,0.247139
16.000000,0.202773,0.340574,0.159233,0.164720,0.274723,0.491479,0.170441,0.246894
16.200000,0.202523,0.340328,0.159305,0.164701,0.274335,0.491419,0.170448,0.246822
16.400000,0.202600,0.340207,0.159152,0.164667,0.274144,0.491152,0.170529,0.246553
16.600000,0.202543,0.340135,0.159446,0.164658,0.273811,0.491283,0.170468,0.246405
16.800000,0.202624,0.339706,0.159343,0.164493,0.273570,0.491126,0.170146,0.246184
17.000000,0.202541,0.339661,0.159190,0.164629,0.273193,0.491065,0.170019,0.245833
17.200000,0.202609,0.339707,0.159297,0.164629,0.272967,0.490867,0.170277,0.245793
17.400000,0.202566,0.339425,0.159442,0.164596,0.272627,0.490865,0.170265,0.245618
