时间(s),MP3B传感器(V),TGS2620传感器(V),MP801传感器(V),WSP2110传感器(V),TGS2609传感器(V),TGS2603传感器(V),TGS2602传感器(V),TGS2600传感器(V)
0.200000,0.187242,0.372198,0.114813,0.127984,0.412371,0.552949,0.169252,0.332852
0.400000,0.186922,0.371090,0.114845,0.127588,0.409924,0.552441,0.168652,0.331034
0.600000,0.187036,0.370464,0.114669,0.127712,0.408231,0.552289,0.168239,0.329751
0.800000,0.187026,0.370012,0.114482,0.127434,0.406584,0.551793,0.167727,0.328727
1.000000,0.186948,0.369295,0.114676,0.127298,0.405103,0.551683,0.167400,0.327574
1.200000,0.186915,0.368842,0.114491,0.127333,0.403532,0.551490,0.167178,0.326432
1.400000,0.186844,0.368399,0.114544,0.127148,0.401878,0.551043,0.166628,0.325176
1.600000,0.186841,0.367968,0.114562,0.127122,0.400388,0.550859,0.166225,0.324225
1.800000,0.186814,0.367129,0.114576,0.127205,0.398911,0.550798,0.166110,0.323055
2.000000,0.186715,0.366894,0.114323,0.126811,0.397044,0.550444,0.165671,0.321915
2.200000,0.186670,0.366427,0.114442,0.126802,0.395964,0.550107,0.165295,0.320846
2.400000,0.186697,0.365818,0.114217,0.126643,0.394062,0.549890,0.164819,0.319701
2.600000,0.186596,0.365498,0.114582,0.126715,0.392827,0.549905,0.164542,0.318699
2.800000,0.186550,0.364872,0.114586,0.126539,0.391464,0.549406,0.164185,0.317628
3.000000,0.186530,0.364422,0.114249,0.126576,0.390000,0.549278,0.163789,0.316499
3.200000,0.186389,0.363764,0.114078,0.126477,0.388427,0.548823,0.163553,0.315458
3.400000,0.186393,0.363441,0.114191,0.126218,0.386965,0.548607,0.163129,0.314473
3.600000,0.186392,0.362863,0.114242,0.126339,0.385820,0.548434,0.162953,0.313484
3.800000,0.186335,0.362528,0.114139,0.126083,0.384238,0.548213,0.162528,0.312470
4.000000,0.186321,0.361996,0.114212,0.126137,0.383103,0.547918,0.162134,0.311638
4.200000,0.186266,0.361506,0.114277,0.125952,0.381609,0.547702,0.161827,0.310515
4.400000,0.186212,0.361310,0.114096,0.125813,0.380075,0.547334,0.161566,0.309478
4.600000,0.186183,0.360431,0.113884,0.125877,0.378755,0.547108,0.161240,0.308520
4.800000,0.186127,0.360056,0.114092,0.125644,0.377555,0.585909,0.160975,0.307532
5.000000,0.186120,0.359661,0.114000,0.125500,0.376186,0.546681,0.160473,0.306676
5.200000,0.186094,0.359151,0.113838,0.125459,0.374985,0.546435,0.160287,0.305501
5.400000,0.186013,0.358695,0.114002,0.125384,0.373526,0.546146,0.159983,0.304697
5.600000,0.186108,0.358371,0.114093,0.125278,0.372455,0.545809,0.159473,0.303737
5.800000,0.185903,0.357906,0.113820,0.125167,0.371093,0.545554,0.159397,0.302825
6.000000,0.185905,0.357450,0.113907,0.125174,0.369810,0.545401,0.158873,0.301936
6.200000,0.185843,0.356967,0.113869,0.125029,0.368552,0.545052,0.158749,0.301027
6.400000,0.185822,0.356608,0.113843,0.125209,0.367275,0.544830,0.158267,0.299978
6.600000,0.185810,0.355991,0.113804,0.124887,0.365449,0.544548,0.157931,0.298798
6.800000,0.185760,0.355562,0.113782,0.124896,0.364415,0.544160,0.157691,0.297906
7.000000,0.185715,0.355337,0.113754,0.124840,0.363276,0.543839,0.157363,0.296989
7.200000,0.185843,0.354464,0.113735,0.124558,0.362024,0.543605,0.157105,0.296262
7.400000,0.185672,0.354416,0.113654,0.124617,0.360832,0.543506,0.156810,0.295401
7.600000,0.185586,0.353877,0.113589,0.124638,0.359589,0.543081,0.156598,0.294424
7.800000,0.185600,0.353313,0.113583,0.124347,0.358729,0.543035,0.156214,0.293807
8.000000,0.185397,0.353179,0.113613,0.124404,0.357305,0.542634,0.156096,0.292910
8.200000,0.185506,0.352647,0.113598,0.124317,0.356156,0.542395,0.155686,0.292110
8.400000,0.185459,0.352240,0.113569,0.124267,0.354851,0.542125,0.155383,0.291331
8.600000,0.185445,0.352171,0.113516,0.124242,0.354148,0.542050,0.155055,0.290377
8.800000,0.185540,0.351768,0.113614,0.124155,0.352924,0.541837,0.154830,0.289760
9.000000,0.185365,0.351154,0.113508,0.124065,0.351863,0.541422,0.154553,0.288960
9.200000,0.185335,0.350786,0.113318,0.124146,0.350810,0.540956,0.154238,0.288156
9.400000,0.185266,0.350487,0.113087,0.123758,0.349883,0.540813,0.154091,0.287426
9.600000,0.185282,0.350128,0.113459,0.123794,0.348665,0.540466,0.153746,0.286523
9.800000,0.185214,0.349712,0.113347,0.123656,0.347586,0.540453,0.153505,0.285813
10.000000,0.185189,0.349169,0.113501,0.123888,0.346547,0.540151,0.153115,0.285152
10.200000,0.185141,0.348990,0.113376,0.123691,0.345596,0.539837,0.153019,0.284418
10.400000,0.185121,0.348566,0.113361,0.123452,0.344579,0.539619,0.152640,0.283734
10.600000,0.184944,0.348294,0.113227,0.123529,0.343715,0.539284,0.152475,0.282680
10.800000,0.185074,0.347748,0.113322,0.123380,0.342581,0.539227,0.152165,0.282252
11.000000,0.184857,0.347468,0.113366,0.123484,0.341593,0.539033,0.152090,0.281410
11.200000,0.185023,0.347251,0.113105,0.123363,0.340719,0.538615,0.151767,0.280873
11.400000,0.184939,0.346884,0.113280,0.123148,0.339524,0.538327,0.151432,0.280135
11.600000,0.185053,0.346593,0.112808,0.123162,0.338894,0.538073,0.151293,0.279483
11.800000,0.184907,0.346252,0.113367,0.123154,0.337716,0.537866,0.150995,0.278685
12.000000,0.184847,0.345862,0.113071,0.123249,0.336874,0.537530,0.150692,0.277901
12.200000,0.184882,0.345582,0.113208,0.122999,0.335825,0.537121,0.150496,0.277526
12.400000,0.184680,0.345185,0.112968,0.123014,0.335040,0.536965,0.150340,0.276897
12.600000,0.184931,0.345143,0.113056,0.122935,0.333860,0.536578,0.150092,0.275918
